,FAs,5% Suff,10% Suff,20% Suff,Mean Suff,Soft Suff,5% Comp,10% Comp,20% Comp,Mean Comp,Soft Comp
0,Input X Gradient,0.0205867993251942,0.0006356382997097006,0.0779295656023041,0.033050667742402666,-0.0009676392483563001,,,,,
1,Integrated Gradients,0.0168546714708966,0.0198572385940221,0.051853793259308605,0.029521901108075767,0.003343644407715,,,,,
2,Gradient Shap,0.0105215505298066,0.0158881868883044,0.0413059514752394,0.022571896297783466,0.0014538746203548998,,,,,
3,Attention Rollout,-0.0033820867400768,-0.0021173160364275,-0.005383670013019699,-0.003627690929841333,-9.710044515490006e-05,,,,,
4,Attention Last,0.0105791454418456,0.048262748663295704,0.12536331218953828,0.06140173543155986,0.0009995334673877,,,,,
5,Attention,0.002122438792429301,0.0689691140237959,0.2504395638788476,0.1071770388983576,0.00015464215513930003,,,,,
6,Ours,0.0259450004276602,0.020674787076297198,0.0453254560504521,0.030648414518136498,0.0036702003052265,,,,,
0,Input X Gradient,,,,,,0.382409934440931,0.4588124483594634,0.3199123040680134,0.38704489562280264,0.0032751786067182
1,Integrated Gradients,,,,,,0.32448380478923744,0.4388338486403282,0.2953200836173637,0.35287924568230966,0.0047677927596689006
2,Gradient Shap,,,,,,0.46595804240706173,0.3932171414430889,0.2477331336209534,0.3689694391570347,0.0030928613783855006
3,Attention Rollout,,,,,,-0.0627254918164421,0.4180615971649345,0.21406539548786108,0.18980050027878453,0.0003692320335354996
4,Attention Last,,,,,,0.5012030626192474,0.526803415959306,0.35023527727287407,0.45941391861714254,0.0016225125157253006
5,Attention,,,,,,0.5131653867663846,0.584476492409721,0.32935898983231193,0.47566695633613904,0.0005854708396684002
6,Ours,,,,,,0.5903857089128697,0.5054620888013313,0.30287294833672584,0.46624024868364233,0.24067361448323218
